Name,Price,Review_Summary,Number_of_Reviews,Release_Date,Developers,Genres,Supported_VR,Steam_ID,Average_Review,Operating_Systems,Release_Year
War Thunder,0.0,Mostly Positive,605452,"Aug 15, 2013",Gaijin Entertainment,"Action, Massively Multiplayer, Simulation, Free To Play",True,236390,Mostly Positive,"Windows, macOS, Linux",2013.0
Phasmophobia,19.99,Overwhelmingly Positive,618234,"Sep 18, 2020",Kinetic Games,"Action, Indie, Early Access",True,739630,Overwhelmingly Positive,Windows,2020.0
VRChat,0.0,Mostly Positive,236050,"Feb 1, 2017",VRChat Inc.,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access",True,438100,Mostly Positive,Windows,2017.0
Half-Life: Alyx,23.39,Overwhelmingly Positive,84131,"23 Mar, 2020",Valve,"Action, Adventure",True,546560,Overwhelmingly Positive,Windows,2020.0
Assetto Corsa,4.99,Very Positive,114040,"Dec 19, 2014",Kunos Simulazioni,"Indie, Racing, Simulation, Sports",True,244210,Very Positive,Windows,2014.0
No Man's Sky,58.99,Very Positive,262608,"12 Aug, 2016",Hello Games,"Action, Adventure",True,275850,Very Positive,"Windows, macOS",2016.0
F1® 24,10.49,Mostly Positive,10858,"May 31, 2024",Codemasters,"Racing, Sports",True,2488620,Mostly Positive,Windows,2024.0
Tabletop Simulator,19.99,Overwhelmingly Positive,41702,"Jun 5, 2015",Berserk Games,"Casual, Indie, RPG, Simulation, Strategy",True,286160,Overwhelmingly Positive,"Windows, macOS, Linux",2015.0
Subnautica,29.99,Overwhelmingly Positive,277828,"Jan 23, 2018",Unknown Worlds Entertainment,"Adventure, Indie",True,264710,Overwhelmingly Positive,"Windows, macOS",2018.0
HITMAN World of Assassination,9.99,Very Positive,37199,"Jan 20, 2022",IO Interactive A/S,"Action, Adventure",True,1659040,Very Positive,Windows,2022.0
Microsoft Flight Simulator 40th Anniversary Edition,59.99,Mostly Positive,61861,"Aug 17, 2020",Asobo Studio,Simulation,True,1250410,Mostly Positive,Windows,2020.0
DCS World Steam Edition,0.0,Very Positive,36528,"Aug 2, 2013",Eagle Dynamics SA,"Simulation, Free To Play",True,223750,Very Positive,Windows,2013.0
Assetto Corsa EVO,31.99,Mostly Positive,8279,"Jan 16, 2025",KUNOS Simulazioni,"Racing, Simulation, Sports, Early Access",True,3058630,Mostly Positive,Windows,2025.0
Gorilla Tag,19.99,Very Positive,34233,"Jan 1, 2023",Another Axiom Inc.,"Action, Casual",True,1533390,Very Positive,Windows,2023.0
Assetto Corsa Competizione,11.99,Very Positive,25608,"May 29, 2019",Kunos Simulazioni,"Racing, Simulation, Sports",True,805550,Very Positive,Windows,2019.0
Beat Saber,29.99,Overwhelmingly Positive,67928,"May 21, 2019",Beat Games,Indie,True,620980,Overwhelmingly Positive,Windows,2019.0
Le Mans Ultimate,37.99,Mostly Positive,6258,"Feb 20, 2024",Studio 397,"Racing, Early Access",True,2399420,Mostly Positive,Windows,2024.0
Elite Dangerous,19.99,Mostly Positive,75231,"Apr 2, 2015",Frontier Developments,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",True,359320,Mostly Positive,Windows,2015.0
Escape Simulator,19.99,Very Positive,14395,"Oct 19, 2021",Pine Studio,"Adventure, Casual, Indie, Simulation",True,1435790,Very Positive,"Windows, macOS, Linux",2021.0
Blade and Sorcery,29.99,Overwhelmingly Positive,53895,"Jun 17, 2024",WarpFrog,"Action, Adventure, Indie, RPG, Simulation",True,629730,Overwhelmingly Positive,Windows,2024.0
Automobilista 2,39.99,Very Positive,7718,"Jun 30, 2020",Reiza Studios,"Action, Indie, Racing, Simulation, Sports",True,1066890,Very Positive,"Windows, Linux",2020.0
CarX Drift Racing Online,14.99,Overwhelmingly Positive,76378,"Nov 17, 2017","CarX Technologies, LLC","Massively Multiplayer, Racing, Simulation, Sports",True,635260,Overwhelmingly Positive,Windows,2017.0
The Elder Scrolls V: Skyrim VR,59.99,Mostly Positive,8366,"Apr 2, 2018",Bethesda Game Studios,RPG,True,611670,Mostly Positive,Windows,2018.0
HARD BULLET,19.99,Very Positive,4639,"Oct 22, 2020",GexagonVR,"Action, Adventure, Indie, Simulation, Early Access",True,1294760,Very Positive,Windows,2020.0
